name,rating,genre,year,score,budget,gross,runtime
Gilda Live,R,Comedy,1980,6.8,,2261507.0,96.0
Why Would I Lie?,PG,Comedy,1980,6.5,,1175855.0,105.0
First Family,R,Comedy,1980,4.3,,15198912.0,97.0
Mantis Fist Fighter,,Action,1980,6.7,,,89.0
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,8.4,18000000.0,389925971.0,115.0
Body Heat,R,Crime,1981,7.4,,24058838.0,113.0
An American Werewolf in London,R,Comedy,1981,7.5,10000000.0,30669378.0,97.0
Escape from New York,R,Action,1981,7.2,6000000.0,25244626.0,99.0
The Evil Dead,NC-17,Horror,1981,7.5,350000.0,2956630.0,85.0
Porky's,R,Comedy,1981,6.2,2500000.0,111289673.0,94.0
Blow Out,R,Crime,1981,7.4,18000000.0,12000000.0,108.0
Clash of the Titans,PG,Action,1981,6.9,15000000.0,41092328.0,118.0
Excalibur,R,Adventure,1981,7.4,11000000.0,34971136.0,140.0
Mad Max 2,R,Action,1981,7.6,3000000.0,23668369.0,96.0
Das Boot,,Adventure,1981,8.3,,11487676.0,149.0
Stripes,R,Comedy,1981,6.9,10000000.0,85297000.0,106.0
Possession,R,Drama,1981,7.4,,1113538.0,124.0
The Cannonball Run,PG,Action,1981,6.2,18000000.0,72179579.0,95.0
Thief,R,Action,1981,7.4,5500000.0,11492915.0,123.0
Endless Love,R,Drama,1981,4.9,,32492674.0,116.0
Time Bandits,PG,Adventure,1981,7.0,5000000.0,42368025.0,110.0
The Four Seasons,PG,Comedy,1981,6.8,,50427646.0,107.0
Friday the 13th Part 2,R,Horror,1981,6.1,1250000.0,21722776.0,87.0
Scanners,R,Horror,1981,6.8,,14225876.0,103.0
For Your Eyes Only,PG,Action,1981,6.7,28000000.0,54813222.0,127.0
Halloween II,R,Horror,1981,6.5,2500000.0,25533818.0,92.0
Taps,PG,Drama,1981,6.8,14000000.0,35856053.0,126.0
Reds,PG,Biography,1981,7.3,32000000.0,40382659.0,195.0
On Golden Pond,PG,Drama,1981,7.6,,119285432.0,109.0
The Fox and the Hound,G,Animation,1981,7.3,12000000.0,63456988.0,83.0
Chariots of Fire,PG,Biography,1981,7.2,5500000.0,59303359.0,125.0
Absence of Malice,PG,Drama,1981,6.9,12000000.0,40716963.0,116.0
Tarzan the Ape Man,Approved,Adventure,1981,3.4,6500000.0,36565280.0,115.0
Victory,PG,Drama,1981,6.7,10000000.0,10853418.0,116.0
Arthur,PG,Comedy,1981,6.9,7000000.0,95461682.0,97.0
My Dinner with Andre,PG,Biography,1981,7.8,,5073.0,110.0
Caveman,PG,Comedy,1981,5.8,,15965924.0,91.0
Dead & Buried,R,Horror,1981,6.6,3000000.0,,94.0
History of the World: Part I,R,Comedy,1981,6.9,11000000.0,31672907.0,92.0
The Howling,R,Horror,1981,6.6,1000000.0,17985893.0,91.0
Dragonslayer,PG,Action,1981,6.7,18000000.0,14110013.0,109.0
Cutter's Way,R,Crime,1981,6.9,3000000.0,1752634.0,109.0
Quest for Fire,R,Adventure,1981,7.3,12500000.0,20962615.0,100.0
