title,Adjusted Budget,Adjusted Domestic,Adjusted International,Adjusted Worldwide
The Jackal,96599999.99999999,88437750.8,168084000.0,256521750.79999998
The Lost World: Jurassic Park,117529999.99999999,368829553.19,627179235.1999999,996008788.3899999
Men in Black,144900000.0,403611767.78999996,545307000.0,948918767.79
My Best Friend's Wedding,61179999.99999999,204663246.69,277191407.35999995,481854654.04999995
As Good as It Gets,80500000.0,239049597.70999998,266776999.99999997,505826597.71
The Peacemaker,80500000.0,66433655.4,111411999.99999999,177845655.39999998
Scream 2,38640000.0,163194914.60999998,114309999.99999999,277504914.60999995
Spawn,64399999.99999999,88340981.75,53081485.87,141422467.61999997
Speed 2: Cruise Control,257599999.99999997,78258986.25999999,186599000.0,264857986.26
Starship Troopers,169050000.0,88251146.97,106903999.99999999,195155146.97
Titanic,322000000.0,1061575949.8399999,2471471712.7799997,3533047662.62
Volcano,144900000.0,79410783.47999999,118334999.99999999,197745783.48
Hurlyburly,23849999.999999996,2860190.5799999996,14535.779999999999,2874726.36
Meet Joe Black,143100000.0,70944369.0,156330390.0,227274758.99999997
Primary Colors,103349999.99999999,62011887.32999999,20811510.0,82823397.33
The Waterboy,36570000.0,256771717.14,38955000.0,295726717.14
Armageddon,222599999.99999997,320509309.38,559889253.54,880398562.92
Ever After: A Cinderella Story,41340000.0,104472175.88999999,51356833.05,155829008.94
Enemy of the State,143100000.0,177364239.23999998,221486925.26999998,398851164.51
Godzilla,206699999.99999997,216739727.45999998,385892999.99999994,602632727.4599999
Stepmom,79500000.0,144908882.57999998,109031278.28999999,253940160.86999997
How Stella Got Her Groove Back,31799999.999999996,59899976.19,2553191.7899999996,62453167.98
Living Out Loud,31799999.999999996,20520382.59,4299992.819999999,24820375.409999996
Lost in Space,127199999.99999999,109897030.10999998,106596452.46,216493482.57
The Mask of Zorro,151050000.0,149611881.57,248346869.99999997,397958751.57
Pleasantville,95399999.99999999,64529229.38999999,14661455.19,79190684.58
Rush Hour,52469999.99999999,224487113.76,164619378.0,389106491.76
Saving Private Ryan,111299999.99999999,345108868.77,421826999.99999994,766935868.77
Snake Eyes,116069999.99999999,88390340.30999999,76797000.0,165187340.30999997
Star Trek: Insurrection,92219999.99999999,111598376.21999998,67416000.0,179014376.22
The Thin Red Line,82680000.0,57876780.69,98144457.66,156021238.35
The Wedding Singer,28619999.999999996,127590702.74999999,68467406.58,196058109.32999998
Lethal Weapon 4,222599999.99999997,207406918.76999998,246449999.99999997,453856918.77
Elizabeth,47699999.99999999,47831491.41,82788029.36999999,130619520.77999999
Rushmore,14309999.999999998,27197298.209999997,143546.78999999998,27340844.999999996
You've Got Mail,103349999.99999999,184156177.04999998,214649999.99999997,398806177.04999995
Patch Adams,143100000.0,214692774.17999998,106952939.99999999,321645714.17999995
There's Something About Mary,36570000.0,280610595.09,307506000.0,588116595.0899999
The Siege,111299999.99999999,65160249.50999999,120349680.57,185509930.07999998
Shakespeare in Love,39750000.0,159505292.45999998,300510000.0,460015292.46
Bride of Chucky,39750000.0,51517046.22,29077919.999999996,80594966.22
Urban Legend,22259999.999999996,60535176.419999994,54783699.629999995,115318876.05
Psycho,95399999.99999999,34162191.449999996,24939149.999999996,59101341.449999996
Baby Geniuses,18600000.0,42238640.800000004,14260000.0,56498640.800000004
Three Kings,116250000.0,94010655.8,73005000.0,167015655.8
Virus,116250000.0,21755807.75,25763865.95,47519673.7
The Bachelor,79050000.0,33728372.0,23484634.35,57213006.35
Being John Malkovich,20150000.0,35438573.800000004,376760.05,35815333.85
The Mummy,124000000.0,240847506.4,403849272.90000004,644696779.3000001
Dogma,15500000.0,47511979.5,1203482.0,48715461.5
The 13th Warrior,248000000.0,50683293.45,44950000.0,95633293.45
Eye of the Beholder,54250000.0,25576218.3,1687824.45,27264042.75
Eyes Wide Shut,100750000.0,86321372.4,165148547.5,251469919.9
The Green Mile,93000000.0,212042129.70000002,232500000.0,444542129.7
Payback,139500000.0,126365487.55,124155000.0,250520487.55
Snow Falling on Cedars,54250000.0,22347269.150000002,13379600.0,35726869.15
Wild Wild West,263500000.0,176397255.55,167865000.0,344262255.55
Star Wars: Episode I - The Phantom Menace,178250000.0,735544249.35,856433946.5,1591978195.8500001
Analyze This,124000000.0,165672769.9,108500000.0,274172769.90000004
Life,124000000.0,99225215.4,14661450.0,113886665.4
Blast from the Past,54250000.0,41092226.7,21315454.3,62407681.0
The Cider House Rules,37200000.0,89194892.60000001,48050000.0,137244892.6
Notting Hill,65100000.0,179939000.9,384175008.2,564114009.1
Man on the Moon,127100000.0,53641516.5,19881850.0,73523366.5
For Love of the Game,124000000.0,54542392.0,16932200.0,71474592.0
The Iron Giant,108500000.0,35896922.75,30876.0,35927798.75
Mickey Blue Eyes,116250000.0,52489730.1,31620000.0,84109730.10000001
Edtv,124000000.0,34769440.35,19857050.0,54626490.35
Mystery Men,105400000.0,46131117.050000004,5733450.0,51864567.050000004
October Sky,38750000.0,50484561.75,3298400.0,53782961.75
The Matrix,97650000.0,265793891.5,455488978.35,721282869.85
The Talented Mr. Ripley,62000000.0,126012310.75,73625000.0,199637310.75
8MM,62000000.0,56828138.25,92930845.2,149758983.45000002
Arlington Road,48050000.0,38372074.35,25282257.7,63654332.050000004
Entrapment,102300000.0,135941813.8,193285000.0,329226813.8
The Astronaut's Wife,116250000.0,16542477.3,13835334.1,30377811.400000002
