year,Multiplier,
1990,0.98,
1991,0.90,
1992,0.84,
1993,0.79,
1994,0.75,
1995,0.70,
1996,0.65,
1997,0.61,
1998,0.59,
1999,0.55,
2000,0.50,
2001,0.46,
2002,0.44,
2003,0.41,
2004,0.37,
2005,0.33,
2006,0.28,
2007,0.25,
2008,0.20,
2009,0.21,
2010,0.19,
2011,0.15,
2012,0.13,
2013,0.11,
2014,0.09,
2015,0.09,
2016,0.08,
2017,0.06,
2018,0.03,
2019,0.01,
,,
